Return,steps
2.0,322.0
6.0,288.0
-9.8,255.0
-9.8,250.0
4.0,325.0
-7.8,235.0
-8.8,250.0
1.0,330.0
-8.8,230.0
-8.8,255.0
6.0,439.0
-8.8,235.0
4.0,421.0
-8.8,250.0
-8.8,250.0
2.0,286.0
0.0,276.0
-9.8,257.0
-8.8,250.0
-9.8,250.0
-8.8,255.0
3.0,420.0
1.0,253.0
-8.8,245.0
-8.8,250.0
21.0,512.0
-7.8,255.0
-1.0,310.0
-8.8,250.0
4.0,356.0
-7.8,235.0
0.0,307.0
-8.8,235.0
0.0,329.0
-8.8,230.0
5.0,365.0
-9.8,251.0
4.0,445.0
-8.8,277.0
5.0,252.0
-2.0,299.0
9.0,459.0
3.0,406.0
8.0,499.0
7.0,400.0
-2.0,335.0
-7.8,235.0
-8.8,235.0
4.0,302.0
1.0,317.0
1.0,291.0
5.0,300.0
-8.8,250.0
-2.0,250.0
-9.8,230.0
2.0,252.0
-7.8,255.0
1.0,368.0
-8.8,245.0
2.0,302.0
0.0,348.0
2.0,259.0
-7.8,250.0
-9.8,230.0
-8.8,250.0
-9.8,250.0
-8.8,250.0
10.0,331.0
-3.0,290.0
3.0,373.0
-9.8,245.0
3.0,341.0
-7.8,250.0
6.0,302.0
-5.0,303.0
1.0,294.0
-7.8,250.0
-8.8,235.0
0.0,300.0
-8.8,250.0
11.0,469.0
-8.8,250.0
-8.8,247.0
-7.8,270.0
-4.0,245.0
-9.8,256.0
2.0,251.0
1.0,307.0
3.0,330.0
-8.8,235.0
0.0,305.0
-8.8,251.0
4.0,432.0
3.0,380.0
-8.8,250.0
-8.8,245.0
4.0,385.0
4.0,335.0
-8.8,240.0
-9.8,230.0
0.0,381.0
11.0,357.0
-8.8,245.0
7.0,319.0
6.0,373.0
-8.8,273.0
2.0,312.0
2.0,306.0
-8.8,250.0
5.0,335.0
-8.8,256.0
4.0,300.0
-9.8,245.0
4.0,507.0
-8.8,250.0
-8.8,250.0
0.0,287.0
-8.8,250.0
6.0,345.0
-1.0,290.0
4.0,292.0
-7.8,235.0
2.0,423.0
6.0,387.0
-8.8,230.0
4.0,382.0
2.0,302.0
8.0,459.0
-1.0,275.0
1.0,310.0
7.0,327.0
2.0,249.0
-9.8,250.0
-7.8,255.0
1.0,294.0
-3.0,269.0
-8.8,235.0
3.0,340.0
4.0,296.0
-9.8,250.0
1.0,262.0
1.0,335.0
0.0,272.0
-2.0,265.0
-7.8,235.0
-8.8,230.0
-9.8,234.0
13.0,399.0
2.0,380.0
10.0,420.0
-1.0,260.0
4.0,320.0
-8.8,235.0
-1.0,257.0
12.0,418.0
-9.8,245.0
-7.8,235.0
-7.8,250.0
-1.0,330.0
4.0,360.0
-7.8,255.0
-8.8,235.0
-8.8,230.0
-9.8,250.0
-8.8,230.0
7.0,348.0
-9.8,250.0
-9.8,250.0
-8.8,250.0
-3.0,248.0
0.0,335.0
8.0,311.0
-8.8,257.0
-8.8,257.0
-8.8,250.0
-8.8,245.0
-1.0,296.0
8.0,410.0
2.3999999999999986,310.0
2.0,328.0
-8.8,230.0
-1.0,420.0
-9.8,261.0
2.0,323.0
2.0,384.0
3.0,277.0
-1.0,282.0
9.0,365.0
0.0,311.0
-1.0,327.0
-8.8,235.0
-8.8,235.0
-1.0,288.0
0.0,343.0
6.0,314.0
-7.8,255.0
4.0,406.0
-8.8,250.0
-8.8,250.0
-8.8,230.0
3.0,365.0
-8.8,245.0
2.0,336.0
6.0,344.0
1.0,320.0
-8.8,250.0
-8.8,250.0
-7.8,255.0
4.0,277.0
6.0,280.0
0.0,266.0
-9.8,245.0
8.0,389.0
1.0,246.0
-3.0,310.0
3.0,319.0
2.0,365.0
1.0,352.0
4.0,378.0
10.0,387.0
4.0,355.0
-9.8,247.0
-9.8,245.0
1.0,326.0
1.0,425.0
-8.8,258.0
2.0,278.0
4.0,480.0
-3.0,346.0
-8.8,236.0
-7.8,250.0
-9.8,245.0
1.0,280.0
-8.8,230.0
0.0,327.0
-9.8,251.0
4.0,333.0
-7.8,250.0
10.0,422.0
-8.8,250.0
5.0,378.0
-9.8,245.0
-9.8,250.0
4.0,306.0
16.0,512.0
0.0,366.0
0.0,307.0
